"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","solidcontact_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_percent","iz_contact_percent","in_zone_percent","whiff_percent","swing_percent","f_strike_percent"
"Ward, Taylor",621493,2024,30,585,663,144,91,26,2,25,163,63,24.6,9.5,".246",".426",".323","0.749",".325",".344",6.7,42.4,"100.017751581","94.464585641",64.8,17.7,20.8,50.9,49.1,49,82.3,51,25.5,43.2,61.1
"Castro, Willi",650489,2024,27,558,635,138,90,31,5,12,150,51,23.6,8,".247",".385",".331","0.716",".317",".321",8,36.8,"98.851706502","93.501303852",72.7,17.4,31.7,53.5,46.5,51.9,82.6,48.1,29,51.4,65
"Greene, Riley",682985,2024,23,512,584,134,77,27,6,24,156,64,26.7,11,".262",".479",".348","0.827",".355",".353",8.1,47.1,"102.088081676","95.54007409",66.3,19.4,23.1,45.8,54.2,51.2,80.6,48.8,26.8,44.3,60.4
"Schanuel, Nolan",694384,2024,22,519,607,130,98,19,0,13,103,68,17,11.2,".250",".362",".343","0.705",".315",".318",4,25.4,"95.305191333","91.662606993",62.1,10,21.5,27.3,72.7,50,90,50,14.4,41.8,62.4
"France, Ty",664034,2024,29,479,535,112,75,24,0,13,114,38,21.3,7.1,".234",".365",".305","0.670",".296",".303",6.2,40,"99.663679892","94.004650595",74.7,16.4,26.9,46.5,53.5,49.3,83.6,50.7,24.2,51.2,62.4
"Doyle, Brenton",686668,2024,26,542,603,141,90,24,4,23,153,46,25.4,7.6,".260",".446",".317","0.763",".328",".328",6,41.4,"100.983223096","94.67619269",74.5,18.2,30,56.5,43.5,51.9,81.8,48.1,29.8,51.4,64.5
"Mountcastle, Ryan",663624,2024,27,473,507,128,83,30,2,13,114,27,22.5,5.3,".271",".425",".308","0.733",".316",".332",7.9,45.2,"102.105716923","95.370233104",75.8,16.2,38,41.4,58.6,52.2,83.8,47.8,25.1,56.1,63.9
"Rafaela, Ceddanne",678882,2024,23,544,571,134,91,23,5,15,151,15,26.4,2.6,".246",".390",".274","0.664",".286",".274",5,36.9,"98.205036294","93.166643181",78.6,24.3,46.4,46.7,53.3,51.7,75.7,48.3,33,61.9,70.5
"Suárez, Eugenio",553993,2024,32,571,640,146,86,28,2,30,176,49,27.5,7.7,".256",".469",".319","0.788",".337",".329",8.9,42.4,"100.570552315","94.463438988",66.9,18.8,27,55.2,44.8,49.4,81.2,50.6,29.1,47.2,65.2
"Guerrero Jr., Vladimir",665489,2024,25,616,697,199,124,44,1,30,96,72,13.8,10.3,".323",".544",".396","0.940",".398",".408",6.3,54.9,"105.663720766","97.649346073",68.6,15.1,27.5,37.3,62.7,50.1,84.9,49.9,21.5,48,61.9
