"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_percent","pitch_count","iz_contact_percent","in_zone_percent","whiff_percent","swing_percent","batted_ball","f_strike_percent","n"
"Rodón, Carlos",607074,2024,736,26.5,7.7,".320",".314",34.6,11,40.9,"80.220048043","94.543522745",70.7,20,30.7,50.5,49.5,53.3,3102,80,46.7,30.1,49.4,474,58.3,"3102"
"Sale, Chris",519242,2024,702,32.1,5.6,".260",".261",34.9,5.6,31.2,"75.016805094","93.046190662",63.9,21.7,33.5,49.4,50.6,49.2,2815,78.3,50.8,31,49,430,69.1,"2815"
"Houck, Tanner",656557,2024,743,20.7,6.5,".276",".312",30.2,5.7,41.8,"78.489312385","94.430703969",62.7,14.1,31.2,39.6,60.4,50.3,2735,85.9,49.7,22.6,46.8,524,64.9,"2735"
"Woods Richardson, Simeon",680573,2024,569,20.6,8.4,".305",".310",35.7,8.2,36.2,"78.06318392","93.54377801",69.5,17.2,29.4,34.9,65.1,49.3,2295,82.8,50.7,22.3,49.8,401,65.7,"2295"
"Rogers, Trevor",669432,2024,562,17.3,10,".350",".347",33.3,8.4,44.4,"80.391399303","94.92394505",67.2,13.6,27.2,37.3,62.7,52.3,2243,86.4,47.7,20.9,46.2,405,58.7,"2243"
"Morton, Charlie",450203,2024,701,23.8,9.3,".335",".326",33,9.3,38.4,"77.729736875","93.929105313",66.3,16.1,28,48.5,51.5,51.4,2791,83.9,48.6,26.1,46.6,451,59.5,"2791"
"Greene, Hunter",668881,2024,611,27.7,9.3,".265",".271",29,5.2,32.5,"76.321243094","93.167150497",72.6,22,29.2,48.3,51.7,50.6,2563,78,49.4,29.7,50.6,366,62.2,"2563"
"Lively, Ben",594902,2024,632,18.7,7.8,".315",".310",30.7,6.5,41.5,"80.455663231","94.191914792",68.4,13,24.3,34.5,65.5,49.6,2406,87,50.4,18.6,46.6,460,65.7,"2406"
"Assad, Javier",665871,2024,638,19.4,9.9,".330",".340",36,8.8,39.8,"78.304060092","94.272452936",62.4,12.6,23.4,31.4,68.6,51,2538,87.4,49,17.9,42.5,445,58.8,"2538"
"Ragans, Cole",666142,2024,762,29.3,8.8,".277",".283",31.8,6.2,35.4,"77.675891223","93.553010853",69.7,24.3,29.8,48.7,51.3,52,3118,75.7,48,32,48.9,466,58.7,"3118"
"Canning, Griffin",656288,2024,739,17.6,8.9,".341",".334",32.4,8.6,41.9,"80.443886517","94.700505891",70.2,14.3,29.2,45.9,54.1,53.3,2869,85.7,46.7,24.5,48.4,537,58.2,"2869"
"Crochet, Garrett",676979,2024,595,35.1,5.5,".280",".262",34.5,9.2,38.8,"76.536271919","94.146127471",70.4,25.5,33.5,51.5,48.5,46.6,2395,74.5,53.4,33.1,53.2,348,64,"2395"
